id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,nama_merk,produk_dihasilkan,tahun
91,32,JAWA BARAT,3273,KOTA BANDUNG,MASKET,"ROTI COKLAT, ROTI KEJU, ROTI KELAPA, ROTI KACANG IJO, ROTI GORENG PISANG
  COKLAT",2017
92,32,JAWA BARAT,3273,KOTA BANDUNG,HALALICIOUS,"LAPIS LEGIT, BROWNIES, KUE KERING",2017
93,32,JAWA BARAT,3273,KOTA BANDUNG,ASY SYAUQI,MADU,2017
94,32,JAWA BARAT,3273,KOTA BANDUNG,BOGA TEÂNA,"DENDENG BALADO BASAH, DENDENG BALADO KERING, SAMBAL BALADO",2017
95,32,JAWA BARAT,3273,KOTA BANDUNG,JAMUR CRISPY QIERA,"JAMUR CRISPY RASA : ORIGINAL, KEJU, JAGUNG BAKAR, BARBEQUE, BALADO,
  PEDAS, JAGUNG MANIS, MANIS PEDAS",2017
96,32,JAWA BARAT,3273,KOTA BANDUNG,AYA RASA,"CAKE, BOLU, KUE KERING",2017
97,32,JAWA BARAT,3273,KOTA BANDUNG,OMABA,"KUE KERING, STICK",2017
98,32,JAWA BARAT,3273,KOTA BANDUNG,NULLA LAC,"SUSU PASTEURISASI, YOGHURT",2017
99,32,JAWA BARAT,3273,KOTA BANDUNG,"JAHEFIT, SODARA",MINUMAN JAHE,2017
100,32,JAWA BARAT,3273,KOTA BANDUNG,TAYOCIE,"BROWNIES, BOLU, PASTRY, RISOLES",2017
101,32,JAWA BARAT,3273,KOTA BANDUNG,"BANDREK BANDOENG, BAJIGUR LEGIT, TEH ROS, NEST SECRETS, JUCE, CODE,
  JUCOK, SWEET ME","BANDREK, BAJIGUR, TEH BUNGA ROSELLA, JUS SARANG BURUNG, JUS BUAH
  CEPLUKAN, MINUMAN AIR KELAPA MUDA, JUS COKLAT, LATTE, TEA FUSSION, MILK TEA",2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,LUFU BITES COOKIES,ALMOND CRISPY,2017
103,32,JAWA BARAT,3273,KOTA BANDUNG,FIFA - KU,"BROWNIES, KUE KERING",2017
104,32,JAWA BARAT,3273,KOTA BANDUNG,METAFIT,KOPI,2017
105,32,JAWA BARAT,3273,KOTA BANDUNG,REANG,"SUMPIA RASA ORIGINAL & PEDAS, REMPEYEK : KACANG, UDANG, REBON,
  BASRENG : ORIGINAL & PEDAS",2017
106,32,JAWA BARAT,3273,KOTA BANDUNG,PRIMA,"KACANG BAWANG, KACANG GORENG, KACANG TELUR",2017
107,32,JAWA BARAT,3273,KOTA BANDUNG,MENANTOE,SAMBAL BAWANG,2017
108,32,JAWA BARAT,3273,KOTA BANDUNG,"MACCERONI CRACKERS, GURILEMOÂS, CRACKERS, BADRA SNACK","MAKARONI GORENG , KERUPUK GURILEM ,MAKARONI TELOR",2017
109,32,JAWA BARAT,3273,KOTA BANDUNG,TANTE BESAR,SAMBAL BAWANG DAN SAMBAL TERI,2017
110,32,JAWA BARAT,3273,KOTA BANDUNG,SAMKIES STAR,COKLAT JAR,2017
111,32,JAWA BARAT,3273,KOTA BANDUNG,AYAM TURANGGA,"AYAM GORENG, AYAM BAKAR",2017
112,32,JAWA BARAT,3273,KOTA BANDUNG,RAHAYU 261 BOGA,"BOLU MAWAR, BOLU RAINBOW, NASTAR, PUDING SUSU, PUDING COKLAT, DONAT TABUR
  KACANG, DONAT COKLAT, DONAT MEISES, BOLA NUTRISARI, BROWNIES KEJU, BROWNIES
  COKLAT, BROWNIES MEISES, KASTENGEL, SAGU, KUE KACANG",2017
113,32,JAWA BARAT,3273,KOTA BANDUNG,JAJANAN BARAYA,"REMPEYEK KACANG TANAH, REMPEYEK KACANG KEDELAI,REMPEYEK REBON, SISTIK
  BAYAM ORIGINAL,SISTIK BAYAM RASA KEJU PEDAS, SISTIK BAYAM RASA SAUS
  SAMBAL",2017
114,32,JAWA BARAT,3273,KOTA BANDUNG,WINSA,"EGG ROLL RASA : WIJEN, PISANG, UBI UNGU, UBI KUNING",2017
115,32,JAWA BARAT,3273,KOTA BANDUNG,DÂSATARI,"STICK SINGKONG RASA : ORIGINAL, KEJU, BALADO",2017
116,32,JAWA BARAT,3273,KOTA BANDUNG,DINNIE CAKE & COOKIES,"BOLU, DONAT, BROWNIES, KUE BASAH, KUE KERING",2017
117,32,JAWA BARAT,3273,KOTA BANDUNG,QMI,"KERIPIK, KACANG GORENG, SISTIK",2017
118,32,JAWA BARAT,3273,KOTA BANDUNG,BAKE UN BAKE DAPUR EII,"SOES, BROWNIES, CAKE, PIE, LAPIS LEGIT, LAPIS SURABAYA",2017
119,32,JAWA BARAT,3273,KOTA BANDUNG,KAZOMBA 122,"ROTI, BOLU",2017
120,32,JAWA BARAT,3273,KOTA BANDUNG,MARTABAK MARRAKESH,MARTABAK,2017
121,32,JAWA BARAT,3273,KOTA BANDUNG,BORALIA,"BOLLEN PISANG, BOLLEN PISANG KEJU, CHEESE ROLL, CHEESE ROLL COKELAT,
  PISANG ROLL, PISANG ROLL COKELAT",2017
122,32,JAWA BARAT,3273,KOTA BANDUNG,RENDANG MA UWO,"RENDANG, SAMBAL ATI, DENDENG",2017
123,32,JAWA BARAT,3273,KOTA BANDUNG,KASTA RASA,MAKARONI,2017
124,32,JAWA BARAT,3273,KOTA BANDUNG,NINALUS63,"KUE KERING, KUE BASAH, PUDING, BROWNIES",2017
125,32,JAWA BARAT,3273,KOTA BANDUNG,NAYÂS,"BOLU, KUE KERING",2017
126,32,JAWA BARAT,3273,KOTA BANDUNG,NUR HOESO,"TAHU BASO, BOLU, KUE KERING, KUE BASAH, KETAN BUMBU",2017
127,32,JAWA BARAT,3273,KOTA BANDUNG,GREEN BEAN,KACANG HIJAU GORENG,2017
128,32,JAWA BARAT,3273,KOTA BANDUNG,DELLA,"ROTI, BOLU, BROWNIES, MUFFIN",2017
129,32,JAWA BARAT,3273,KOTA BANDUNG,DS YOGHURTKU,"YOGHURT RASA LECI, STRAWBERRY, BLUEBERRY, MANGGA, ANGGUR, MELON, SIRSAK,
  DURIAN, VANILLA, MOCCA, BUBBLE GUM",2017
130,32,JAWA BARAT,3273,KOTA BANDUNG,IBUNDA,"KERIPIK, LUMPIA GULUNG, KUE BAWANG, SISTIK, COMRING, SALE PISANG GORENG",2017
131,32,JAWA BARAT,3273,KOTA BANDUNG,SUSHI HOUSE,"SUSHI CHICKEN CRISPY ROLL, SUSHI CHICKEN ROLL, SUSHI SHRIMP ROLL,
  SALMONIGIRI, TUNA LOVER",2017
132,32,JAWA BARAT,3273,KOTA BANDUNG,ENA POTATO CHIPS,"KERIPIK KENTANG RASA : BALADO, BALADO PEDAS, BBQ, AYAM BAWANG, RUMPUT
  LAUT, KEJU ASIN, KEJU MANIS",2017
133,32,JAWA BARAT,3273,KOTA BANDUNG,JENONK 17,"PUFF PASTRY, BOLU PISANG, BROWNIES, CILOK",2017
134,32,JAWA BARAT,3273,KOTA BANDUNG,LANCAR,"PIA, SOPIA, NASTAR, BROWNIES BAKAR",2017
135,32,JAWA BARAT,3273,KOTA BANDUNG,MEKARSARI,BAWANG GORENG,2017
136,32,JAWA BARAT,3273,KOTA BANDUNG,WAROENG SNOEPEN,"CAKE, CROISSANT, ÃCLAIR, PASTA, MUFFIN, KUE KERING",2017
137,32,JAWA BARAT,3273,KOTA BANDUNG,LUSILA 88,PEMPEK,2017
138,32,JAWA BARAT,3273,KOTA BANDUNG,PIKTOR,"KERIPIK TORTILLA, TORTILLA RASA",2017
139,32,JAWA BARAT,3273,KOTA BANDUNG,MABIKA ENTEN,"MABIKA ENTEN ORIGINAL, MABIKA ENTEN PEDAS, MABIKAN ENTEN SUPER PEDAS",2017
140,32,JAWA BARAT,3273,KOTA BANDUNG,MUMUN,"SAMBAL JAMBAL, SAMBAL TERI, SAMBAL CUMI, SAMBAL JENGKOL, SAMBAL PEUTEUY",2017
141,32,JAWA BARAT,3273,KOTA BANDUNG,RAINBOWÂ  DONUT,DONAT,2017
142,32,JAWA BARAT,3273,KOTA BANDUNG,RE-JUICE,"JUS, AIR KELAPA MUDA",2017
143,32,JAWA BARAT,3273,KOTA BANDUNG,ERESA BREAD,ROTI,2017
144,32,JAWA BARAT,3273,KOTA BANDUNG,ARMALA COOKIES,"KUE KERING, COOKIES",2017
145,32,JAWA BARAT,3273,KOTA BANDUNG,HERÂS MOM,BAWANG GORENG,2017
146,32,JAWA BARAT,3273,KOTA BANDUNG,SAMBAL INOHONG,"SAMBAL : TERI MERAH, TERI IJO, BAJAK, BALADO MERAH, BALADO IJO",2017
147,32,JAWA BARAT,3273,KOTA BANDUNG,DAPUR SALDAN,"BROWNIES MOCAF, KUE KERING MOCAF, KUE BASAH, PUDING",2017
148,32,JAWA BARAT,3273,KOTA BANDUNG,VERAMA,"KUE PUKIS, KUE KERING, KUE BASAH",2017
149,32,JAWA BARAT,3273,KOTA BANDUNG,ABECES COOKIES,"KUE KERING, PASTRY, CAKE",2017
150,32,JAWA BARAT,3273,KOTA BANDUNG,IND`RISOL,"RISOLES, PASTEL, BITTER BALLEN, PROLL TAPE",2017
151,32,JAWA BARAT,3273,KOTA BANDUNG,FLAVIOUS,"GREEN TEA, THAI TEA, LIANG TEA",2017
152,32,JAWA BARAT,3273,KOTA BANDUNG,TIA SOENARDI PATISSERIE,"RISOL SMOKE BEEF REGULER, RISOL SMOKED BEEF MOZARELLA, RISOL CHICKEN
  ROUGUT MOZARELLA, RISOL SOSIS AYAM MOZARELLA, RISOL SOSIS SAPI MOZARELLA",2017
153,32,JAWA BARAT,3273,KOTA BANDUNG,UNI NOVIDA,RENDANG,2017
154,32,JAWA BARAT,3273,KOTA BANDUNG,"SISTIKKU CRISPY, BANDUNG SNACK","SISTIK, REMPEYEK",2017
155,32,JAWA BARAT,3273,KOTA BANDUNG,BUSIN FOOD,"RESOUL RAGAUT SAYUR, RESOUL RAGOUT AYAM, RESOUL RAGAUT SAYUR TUNA, RESOUL
  SMOKED BEEF",2017
156,32,JAWA BARAT,3273,KOTA BANDUNG,BYWINZ BEER PLETOK,"BEER PLETOK CAIR, BEER PLETOK SERBUK",2017
157,32,JAWA BARAT,3273,KOTA BANDUNG,DAUNN,"BUMBU MASAK, BAWANG GORENG, SAMBEL",2017
158,32,JAWA BARAT,3273,KOTA BANDUNG,CHAZ CHUZ,"CHEESE STICK, KUE TAMBANG, COOKIES",2017
159,32,JAWA BARAT,3273,KOTA BANDUNG,PAPANAYA,"KERIPIK PISANG RASA : ORIGINAL, COKLAT, GREEN TEA, JAGUNG MANIS, BALADO,
  BALADO IJO, KEJU ASIN, BARBEQUE",2017
160,32,JAWA BARAT,3273,KOTA BANDUNG,HAYUKA,ABON IKAN,2017
161,32,JAWA BARAT,3273,KOTA BANDUNG,DINAR,"KERIPIK PISANG RASA ASIN, KERIPIK PISANG RASA MANIS, KERIPIK SINGKONG
  RASA ASIN, KERIPIK SINGKONG RASA MANIS PEDAS",2017
162,32,JAWA BARAT,3273,KOTA BANDUNG,MAICA,TEA RASA BUBBLE GUM,2017
163,32,JAWA BARAT,3273,KOTA BANDUNG,NIMUTÂS,"ABON SAPI RASA ORIGINAL, ABON SAPI RASA PEDAS",2017
164,32,JAWA BARAT,3273,KOTA BANDUNG,"PITALOKA, GLUCOBERRY, GLUCOCOA","MINUMAN SERBUK, KUNIR ASEM, BERAS KENCUR, TEH ROSELLA",2017
165,32,JAWA BARAT,3273,KOTA BANDUNG,PLOY,BAWANG GORENG,2017
166,32,JAWA BARAT,3273,KOTA BANDUNG,GANDES,"SISTIK BAWANG, CHEESE STICK",2017
167,32,JAWA BARAT,3273,KOTA BANDUNG,ROTI MARYAM KING SULTAN,"ROTI MARYAM, DONAT PASTRY, COOKIES, BISCOLATO",2017
168,32,JAWA BARAT,3273,KOTA BANDUNG,HASANAH,TELUR ASIN,2017
169,32,JAWA BARAT,3273,KOTA BANDUNG,MANDALA,JELLY,2017
170,32,JAWA BARAT,3273,KOTA BANDUNG,ALYSA COOKIES,EGGROLL,2017
171,32,JAWA BARAT,3273,KOTA BANDUNG,KATUMBIRI,"CILOK, CIRENG",2017
172,32,JAWA BARAT,3273,KOTA BANDUNG,SOERABI GEULIS,SOERABI,2017
173,32,JAWA BARAT,3273,KOTA BANDUNG,BADA,SOSIS SAPI,2017
174,32,JAWA BARAT,3273,KOTA BANDUNG,PONDOK DAUN,"KASRENG, KENTANG EBI",2017
175,32,JAWA BARAT,3273,KOTA BANDUNG,MEY,"BATAGOR, OTAK-OTAK",2017
176,32,JAWA BARAT,3273,KOTA BANDUNG,BADUY FOREST,MADU HUTAN,2017
177,32,JAWA BARAT,3273,KOTA BANDUNG,MAUWEE,ABON AYAM,2017
178,32,JAWA BARAT,3273,KOTA BANDUNG,MUTIARA RASA,KACANG MEDE,2017
179,32,JAWA BARAT,3273,KOTA BANDUNG,BANG ANGSA,BATAGOR PANGSIT ORIGINAL DAN PEDAS,2017
180,32,JAWA BARAT,3273,KOTA BANDUNG,YATIÂS KITCHEN,"LENJER, KAPAL SELAM, ADAAN, KULIT, KERITING, TEKWAN, MODEL",2017
181,32,JAWA BARAT,3273,KOTA BANDUNG,ZAKYÂS,"KERIPIK SINGKONG, KERING REBON, MUSTOPA, KERIPIK KENTANG, SISTIK, CHEESE
  STICK",2017
182,32,JAWA BARAT,3273,KOTA BANDUNG,ADEÂS MADE,KERIPIK BAYAM,2017
183,32,JAWA BARAT,3273,KOTA BANDUNG,ANO INO,"CAKE, CARABIKANG",2017
184,32,JAWA BARAT,3273,KOTA BANDUNG,BKKN,"BOLU ORIGINAL, BOLU KUKUS, BOLU KETAN, BOLU PEUYEUM, BOLU KEJU, BOLU
  MEISES, BOLU GULA MERAH",2017
185,32,JAWA BARAT,3273,KOTA BANDUNG,MEE MOOIZZA,MIE BASAH,2017
186,32,JAWA BARAT,3273,KOTA BANDUNG,TERBANG Q-TA 69,"SAMBEL TERI BAWANG, ABON IKAN, BASO IKAN, SISTIK IKAN, BATAGOR IKAN",2017
187,32,JAWA BARAT,3273,KOTA BANDUNG,SUMPIKER MANKDUT,"SUMPIA, ISI : UDANG ORIGINAL, UDANG PEDAS, ABON SAPI, KEJU, COKLAT",2017
188,32,JAWA BARAT,3273,KOTA BANDUNG,TE-YU,"ROTI MANIS, ISI : (COKLAT, STRAWBERRY, KEJU), DONAT TOPPING COKLAT, MOLEN
  PISANG KEJU",2017
189,32,JAWA BARAT,3273,KOTA BANDUNG,MOOIZZA YOGHURT,"YOGHURT RASA :LECI, MELON, MANGGA, JERUK, NANAS, DURIAN, APEL, SIRSAK,
  BLUEBERRY, STRAWBERRY, ANGGUR",2017
